,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
131,1649,University of Alabama at Birmingham,University of Alabama at Birmingham,401-500,https://www.shanghairanking.com/institution/university-of-alabama-at-birmingham
132,1715,University of Kent,University of Kentucky,401-500,https://www.shanghairanking.com/institution/university-of-kent
133,1786,University of Notre Dame,University of Notre Dame,401-500,https://www.shanghairanking.com/institution/university-of-notre-dame
134,1790,University of Oregon,University of Oregon,401-500,https://www.shanghairanking.com/institution/university-of-oregon
135,1870,University of Vermont,University of Vermont,401-500,https://www.shanghairanking.com/institution/university-of-vermont
136,1896,Utah State University,Utah State University,401-500,https://www.shanghairanking.com/institution/utah-state-university
137,1938,Washington State University,Washington State University,401-500,https://www.shanghairanking.com/institution/washington-state-university
138,1160,York University,New York University,401-500,https://www.shanghairanking.com/institution/york-university
140,344,Binghamton University,Binghamton University--SUNY,501-600,https://www.shanghairanking.com/institution/binghamton-university
141,360,Boston College,Boston College,501-600,https://www.shanghairanking.com/institution/boston-college
142,375,Brigham Young University,Brigham Young University,501-600,https://www.shanghairanking.com/institution/brigham-young-university
145,543,Concordia University,Concordia University Ann Arbor,501-600,https://www.shanghairanking.com/institution/concordia-university
152,703,Florida International University,Florida International University,501-600,https://www.shanghairanking.com/institution/florida-international-university
154,751,Georgia State University,Georgia State University,501-600,https://www.shanghairanking.com/institution/georgia-state-university
156,264,Kansas State University,Arkansas State University,501-600,https://www.shanghairanking.com/institution/kansas-state-university
158,1038,Medical University of South Carolina,Medical University of South Carolina,501-600,https://www.shanghairanking.com/institution/medical-university-of-south-carolina
160,1087,Mississippi State University,Mississippi State University,501-600,https://www.shanghairanking.com/institution/mississippi-state-university
161,1135,"National University of Ireland, Galway",National University,501-600,https://www.shanghairanking.com/institution/national-university-of-ireland-galway
162,1135,National University of Malaysia,National University,501-600,https://www.shanghairanking.com/institution/national-university-of-malaysia
163,1135,National University of Defense Technology,National University,501-600,https://www.shanghairanking.com/institution/national-university-of-defense-technology
164,1198,Northwest University,Northwest University,501-600,https://www.shanghairanking.com/institution/northwest-university
165,1191,Oklahoma State University,Northwestern Oklahoma State University,501-600,https://www.shanghairanking.com/institution/oklahoma-state-university
171,1367,Saint Louis University,Saint Louis University,501-600,https://www.shanghairanking.com/institution/saint-louis-university
