university_name,id_
Methodist University,1049
Metropolitan College of New York,1050
Metropolitan State University,1051
Metropolitan State University of Denver,1052
MGH Institute of Health Professions,1053
Miami Dade College,1054
Miami International University of Art & Design,1055
Miami Regional University,1056
Miami University--Hamilton,1057
Miami University--Middletown,1058
Miami University--Oxford,1059
Michigan State University,1060
Michigan Technological University,1061
Mid-America Christian University,1062
MidAmerica Nazarene University,1063
Mid-Atlantic Christian University,1064
Middlebury College,1065
Middle Georgia State University,1066
Middle Tennessee State University,1067
Midland College,1068
Midland University,1069
Midway University,1070
Midwestern Baptist Theological Seminary,1071
Midwestern State University,1072
Miles College,1073
Millersville University of Pennsylvania,1074
Milligan University,1075
Millikin University,1076
Millsaps College,1077
Milwaukee Institute of Art and Design,2092
Milwaukee School of Engineering,2094
Minneapolis College of Art and Design,1080
Minnesota State University--Mankato,1081
Minnesota State University--Moorhead,1082
Minot State University,1083
MiraCosta College,1084
Misericordia University,1085
Mississippi College,1086
Mississippi State University,1087
Mississippi University for Women,1088
Mississippi Valley State University,1089
Missouri Baptist University,1090
Missouri Southern State University,1091
Missouri State University,1092
Missouri University of Science and Technology,1093
Missouri Valley College,1094
Missouri Western State University,1095
Mitchell College,1096
Modesto Junior College,1097
Molloy University,1098
Monmouth College,1099
Monmouth University,1100
Monroe College,1101
Montana State University,1102
Montana State University--Billings,1103
Montana State University--Northern,1104
Montana Technological University,1105
Montclair State University,1106
Montreat College,1107
Montserrat College of Art,1108
Moody Bible Institute,1109
Moore College of Art & Design,1110
Moravian University,1111
Morehead State University,1112
Morehouse College,1113
Morgan State University,1114
Morningside University,1115
Morris College,1116
Mount Aloysius College,1117
Mount Angel Seminary,1118
Mount Carmel College of Nursing,1119
Mount Holyoke College,1120
Mount Marty University,1121
Mount Mary University,1122
Mount Mercy University,1123
Mount Saint Mary's University,1124
Mount St. Joseph University,1125
Mount St. Mary College,1126
Mount St. Mary's University,1127
Mount Vernon Nazarene University,1128
Muhlenberg College,1129
Multnomah University,1130
Murray State University,1131
Muskingum University,1132
Naropa University,1133
National Louis University,1134
National University,1135
National University College,1136
Navajo Technical University,1137
Nazareth University,1138
Nebraska Methodist College,1139
Nebraska Wesleyan University,1140
Neumann University,1141
Neumont College of Computer Science,1142
Nevada State University,1143
Newberry College,1144
New College of Florida,1145
New England College,1146
New England Conservatory of Music,1147
New England Institute of Technology,1148
New Jersey City University,1149
New Jersey Institute of Technology,1150
Newman University,1151
New Mexico Highlands University,1152
New Mexico State University,1153
New Mexico Tech,1154
New Orleans Baptist Theological Seminary,1155
The New School,1156
NewSchool of Architecture and Design,1157
New York Institute of Technology,1158
New York School of Interior Design,1159
New York University,1160
Niagara University,1161
Nicholls State University,1162
Nichols College,1163
Nightingale College,1164
Norfolk State University,1165
North Carolina Agricultural and Technical State University,1166
North Carolina Central University,1167
North Carolina State University,1168
North Carolina Wesleyan University,1169
North Central College,1170
North Central University,1171
North Dakota State University,1172
Northeastern Illinois University,1173
Northeastern State University,1174
Northeastern University,1175
Northern Arizona University,1176
Northern Illinois University,1177
Northern Kentucky University,1178
Northern Marianas College,1179
Northern Michigan University,1180
Northern New Mexico College,1181
Northern State University,1182
North Florida College,1183
North Greenville University,1184
Northland College,2095
North Park University,1186
North Seattle College,2053
Northwestern College,1188
Northwestern Health Sciences University,1189
Northwestern Michigan College,1190
Northwestern Oklahoma State University,1191
Northwestern State University of Louisiana,1192
Northwestern University,1193
Northwest Florida State College,1194
Northwest Indian College,1195
Northwest Missouri State University,1196
Northwest Nazarene University,1197
Northwest University,1198
Northwood University,1199
Norwich University,1200
Notre Dame College of Ohio,1201
Notre Dame of Maryland University,1202
Nova Southeastern University,1203
Nueta Hidatsa Sahnish College,1204
Oakland City University,1205
Oakland University,1206
Oak Point University,1207
Oakwood University,1208
Oberlin College and Conservatory,1209
Occidental College,1210
Oglala Lakota College,1211
Oglethorpe University,1212
Ohio Christian University,1213
Ohio Dominican University,1214
Ohio Northern University,1215
The Ohio State University,1216
Ohio University,1217
Ohio Wesleyan University,1218
Oklahoma Baptist University,1219
Oklahoma Christian University,1220
Oklahoma City University,1221
Oklahoma Panhandle State University,1222
Oklahoma State University,1223
Oklahoma State University Institute of Technology--Okmulgee,1224
Oklahoma State University--Oklahoma City,1225
Oklahoma Wesleyan University,1226
Old Dominion University,1227
Olivet Nazarene University,1228
Olympic College,2054
Oral Roberts University,1230
Oregon Health and Science University,1231
